,Date,total_cases,special_cause_reason,moving_range,I_UCL,I_LCL,I_LCL_SIGMA_1,I_UCL_SIGMA_1,I_LCL_SIGMA_2,I_UCL_SIGMA_2,MR_UCL,MR_LCL,X_BAR,MR_BAR,I_control_flag,MR_control_flag
72,2020-05-31,33,,72.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,out of control
73,2020-06-01,58,,25.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
74,2020-06-02,81,,23.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
75,2020-06-03,72,,9.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
76,2020-06-04,69,,3.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
77,2020-06-05,76,,7.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
78,2020-06-06,64,,12.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
79,2020-06-07,72,,8.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
80,2020-06-08,33,,39.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
81,2020-06-09,74,,41.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
82,2020-06-10,69,,5.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
83,2020-06-11,92,,23.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,out of control,in control
